variant,predictor,group,value,n_trials,metric_positive_bin_bce,metric_negative_bin_bce,metric_count_corr,metric_count_mae,metric_count_rmse,metric_mean_true_count,metric_mean_pred_count,metric_temporal_kl,metric_spatial_kl,metric_early_temporal_kl,metric_first_spike_mae_peak_bin,metric_first_spike_mae_expected_bin,metric_top50_true_spike_capture,metric_top50_precision,metric_top100_true_spike_capture,metric_top100_precision,metric_top200_true_spike_capture,metric_top200_precision,metric_top500_true_spike_capture,metric_top500_precision
task2_hybrid_spike_localization,model,all,all,8910,3.3678815364837646,0.007844395935535431,0.8892543084824862,28.894296646118164,37.92601776123047,99.41291046142578,102.64402770996094,0.2563686846475538,0.14030516034893445,0.16357621626466293,6.834080159322878,17.04700332699544,0.06818281857609004,0.12671894427478864,0.11673646954125068,0.11025516554422979,0.19524985044956522,0.09415484195283456,0.36032708456946355,0.0731125219812536
task2_hybrid_spike_localization,global,all,all,8910,3.899641275405884,0.007775960490107536,,68.81204986572266,82.0228042602539,99.41291046142578,100.15880584716797,0.27481587034488797,0.17310643377254947,0.16724463476920487,5.066965397062485,17.38531946147229,0.04285111857132088,0.07956932998501842,0.0756324928032245,0.07266367931787888,0.13366905838395554,0.06640776699487252,0.2717010449360289,0.057078665846674516
task2_hybrid_spike_localization,pattern,all,all,8910,3.65749192237854,0.007721506059169769,0.6776151415961457,46.206085205078125,60.32285690307617,99.41291046142578,100.14070892333984,0.2549234918615757,0.16066624335073637,0.1668966016284795,5.2384864326611895,17.560168456244753,0.04888079517917651,0.08884988757829212,0.0865884904398388,0.08069081396283663,0.15071665429917527,0.07235810307209502,0.29984642230790365,0.060478964576313125
task2_hybrid_spike_localization,model,pattern,0,573,6.299371242523193,0.001395725761540234,0.24844985207592862,17.46172523498535,24.369237899780273,16.249563217163086,17.80684471130371,0.6301992252419171,0.342809246001567,0.5495041915316536,29.935574229691877,23.513242013043808,0.027252261594710062,0.008627450829293547,0.049344820614789384,0.008039215584846438,0.09443130625114471,0.0075910363518515555,0.1717138984749297,0.00644257709811799
task2_hybrid_spike_localization,model,pattern,1,552,3.0457870960235596,0.01351335272192955,0.7975713147797817,38.19434356689453,47.865943908691406,174.0615997314453,176.88916015625,0.1233287735426905,0.05675973914757052,0.08405216791066149,2.20508166969147,15.868821193712195,0.06212138809549357,0.1759709617200759,0.10797093856062219,0.15486388376655358,0.1867958959259647,0.13523593461800185,0.3616314832486226,0.10890018186716197
task2_hybrid_spike_localization,model,pattern,2,550,5.966714859008789,0.001657918212004006,0.22157006202033025,18.47815704345703,26.17141342163086,16.676362991333008,21.14588165283203,0.6016631596839956,0.34245920357875526,0.5312654153673655,25.905982905982906,22.747970301555625,0.02615178104999483,0.008034187886450026,0.05408677953611157,0.008404558290995423,0.09202615545526614,0.007663817582731573,0.1995310284916386,0.006928775009123391
task2_hybrid_spike_localization,model,pattern,3,548,3.123481512069702,0.011285990476608276,0.8453037153214357,32.38368606567383,41.48298645019531,145.29014587402344,147.89051818847656,0.15302379934229018,0.08025948105580685,0.10440595154383148,2.468978102189781,15.388621756097598,0.0774647403282392,0.16791970771567447,0.1326853033349795,0.14687956214957212,0.21496280841869267,0.12447992703931773,0.39775791694919993,0.09809854054521008
task2_hybrid_spike_localization,model,pattern,4,575,3.6165924072265625,0.007895294576883316,0.7233986346044852,33.48804473876953,42.54318618774414,101.20347595214844,102.84678649902344,0.2199061649601452,0.11587757267688883,0.1578531988510946,3.4574468085106385,16.19664092273179,0.09003633616082635,0.14539007071722695,0.15101115514626662,0.12498226954687572,0.23718441008748684,0.10202127651820052,0.4109443553578082,0.07434397178383359
task2_hybrid_spike_localization,model,pattern,5,568,3.087794780731201,0.012853153049945831,0.7936585398764315,34.80077362060547,43.999961853027344,164.55105590820312,168.07583618164062,0.13415199084413282,0.05901778984485425,0.08136156963722181,1.9683098591549295,15.557840211790806,0.06197438432718627,0.1722535211724085,0.1057298489629855,0.14885563382052514,0.18345829886121964,0.13081866209755955,0.3553983667130831,0.10471478881294721
task2_hybrid_spike_localization,model,pattern,6,556,3.6939032077789307,0.006692441646009684,0.7682629706062082,29.480619430541992,37.344112396240234,83.28956604003906,87.02754211425781,0.24815145370344738,0.1496728005495394,0.20015205110780707,3.1164510166358594,16.357564418048288,0.0927722423333957,0.1243992603681775,0.15268718359420375,0.1054343809399499,0.2511019358185917,0.08742144194133786,0.4342747648176005,0.06355268036638509
