variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,aux_temporal_kl_weight,aux_spatial_kl_weight,aux_early_temporal_kl_weight,aux_first_time_weight,early_time_window,val_temporal_kl_loss,val_spatial_kl_loss,val_early_temporal_kl_loss,val_first_time_loss,val_joint_kl_loss,val_focal_loss,val_ranking_loss,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_len,z_gru_hidden_dim,z_gru_layers,z_history_pattern_mode,use_frequency_features,use_rbf_features,use_frequency_film,freq_rbf_dim,experiment_group,history_strategy,freq_strategy
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,64,0.03359922471198749,0.0335942451687083,0.03415971970233719,0.03415438163728693,True,0.0008,0.34602662920951843,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25281286597519476,0.1404051157260182,0.16423610472251002,0.027749683319535586,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,65,0.033577438904369004,0.033572457462627256,,,False,0.0008,0.34835079312324524,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,66,0.03357997029138958,0.03357498812605235,0.034182825979727556,0.03417747172910624,True,0.0008,0.3505938947200775,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2542482800756641,0.14073438284506834,0.16427153449936213,0.02962560320668148,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,67,0.033526059773322396,0.03352110057851816,,,False,0.0008,0.3527524471282959,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,68,0.033493144423873335,0.03348819501907068,0.03420039775930805,0.034195059822197046,True,0.0008,0.3551577031612396,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.25390393177400666,0.14085960504583236,0.16389993171298545,0.029011513490133683,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,69,0.03347327537608869,0.03346832871738106,,,False,0.0008,0.35721707344055176,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,70,0.03346949031501953,0.03346454164328934,0.03412997607229535,0.03412464871066053,True,0.0008,0.3590848445892334,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2528411413817829,0.14014554578982352,0.16417994736688574,0.027113174269128463,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,71,0.0334504373679603,0.03344548668752794,,,False,0.0008,0.3615388870239258,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,72,0.03342709548567905,0.033422147904638044,0.034113546282755404,0.03410821746445264,True,0.0008,0.36344560980796814,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",0.2533328053592699,0.13984347781548997,0.16390996270977154,0.028519983469235777,0.0,0.0,0.0,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
task2_hybrid_spike_localization,task2_hybrid_spike_localization,random,z_window_summary,True,73,0.03338524967521217,0.03338031574520688,,,False,0.0008,0.36557120084762573,28,1024,0.03,0.03,0.0,0.0,0.0,0.0,"[0, 20]",,,,,,,,0.12,0.0001,False,True,single,linear,True,False,24,64,2,embedding,True,True,False,16,hybrid_localization,H24_D64_embedding_layers2_best_c4,direct_rbf16_plus_full_z_window_context
