pattern,n_samples,accuracy,accuracy_percent
0,237,0.5822784810126582,58.22784810126582
1,227,0.3876651982378855,38.76651982378855
2,226,0.1504424778761062,15.04424778761062
3,226,0.28761061946902655,28.761061946902654
4,231,0.2857142857142857,28.57142857142857
5,231,0.329004329004329,32.900432900432904
6,226,0.3185840707964602,31.858407079646017
7,234,0.5,50.0
8,230,0.26956521739130435,26.956521739130434
9,214,0.5093457943925234,50.93457943925234
10,229,0.034934497816593885,3.4934497816593884
11,229,0.5938864628820961,59.388646288209614
12,234,0.41025641025641024,41.02564102564102
13,226,0.4823008849557522,48.23008849557522
14,231,0.5454545454545454,54.54545454545454
15,230,0.6608695652173913,66.08695652173913
