epoch,train_loss,train_acc,train_acc_percent,val_loss,val_acc,val_acc_percent,learning_rate,is_best_acc_this_run,is_best_loss_this_run
1,2.014754273237721,0.20633820564516128,20.633820564516128,2.0885820388793945,0.2215241737230265,22.15241737230265,0.005,True,True
2,1.6468979639391745,0.2903540826612903,29.035408266129032,1.6282823085784912,0.31466812346353457,31.466812346353457,0.005,True,True
3,1.525884363920458,0.34135584677419356,34.13558467741936,1.5116077661514282,0.3419830647364108,34.19830647364108,0.005,True,True
4,1.4570971525484515,0.36617943548387094,36.617943548387096,1.4973455667495728,0.34963124829281617,34.96312482928162,0.005,True,True
5,1.4208981500517937,0.38382056451612906,38.382056451612904,1.517362356185913,0.3733952472002185,37.33952472002185,0.005,True,False
6,1.368705673563865,0.40061113911290325,40.06111391129033,1.4219858646392822,0.38186287899481014,38.186287899481016,0.005,True,True
7,1.3445518180247276,0.4104712701612903,41.04712701612903,1.4092708826065063,0.3810434307566239,38.10434307566239,0.005,False,True
8,1.3013894615634796,0.4295929939516129,42.95929939516129,1.4114323854446411,0.38459437312209777,38.45943731220978,0.005,True,False
9,1.267916222733836,0.4456905241935484,44.56905241935484,1.4704800844192505,0.36356186834198306,36.356186834198304,0.005,False,False
10,1.2421366639675633,0.4549836189516129,45.49836189516129,1.4790030717849731,0.37093690248565964,37.09369024856596,0.005,False,False
11,1.202003239623962,0.47946068548387094,47.946068548387096,1.5062754154205322,0.3840480742966403,38.404807429664025,0.005,False,False
12,1.1667550167729777,0.49319556451612906,49.319556451612904,1.5000287294387817,0.38787216607484293,38.78721660748429,0.005,True,False
13,1.110697717916581,0.5209803427419355,52.09803427419355,1.5276442766189575,0.3723026495493035,37.23026495493035,0.005,False,False
14,1.0494283572320016,0.5519783266129032,55.19783266129033,1.4792348146438599,0.38486752253482653,38.486752253482656,0.005,False,False
15,0.9948132134252979,0.5756678427419355,57.56678427419355,1.655870795249939,0.3971592461076209,39.71592461076209,0.005,True,False
16,0.9295498627808786,0.6071383568548387,60.71383568548387,1.7042500972747803,0.3712100518983884,37.12100518983884,0.0025,False,False
17,0.7422385172497842,0.6872794858870968,68.72794858870968,1.9404683113098145,0.3807702813438951,38.077028134389515,0.0025,False,False
18,0.6348720240977502,0.7340284778225806,73.40284778225806,2.4627280235290527,0.3799508331057088,37.995083310570884,0.0025,False,False
19,0.5821875910605153,0.7526461693548387,75.26461693548387,2.3235387802124023,0.37831193662933627,37.83119366293363,0.0025,False,False
20,0.5493953091002279,0.7702242943548387,77.02242943548387,2.8204307556152344,0.38186287899481014,38.186287899481016,0.0025,False,False
21,0.5253255756631974,0.7786353326612904,77.86353326612904,2.8582043647766113,0.3763998907402349,37.63998907402349,0.0025,False,False
22,0.49439869292320743,0.7957094254032258,79.57094254032258,2.948918104171753,0.38350177547118275,38.35017754711828,0.0025,False,False
23,0.47186609838278065,0.7993951612903226,79.93951612903226,3.1347382068634033,0.3799508331057088,37.995083310570884,0.0025,False,False
24,0.4495544135570526,0.8104208669354839,81.04208669354838,3.4100215435028076,0.37366839661294726,37.366839661294726,0.0025,False,False
25,0.43807832031480726,0.8169417842741935,81.69417842741935,3.3817496299743652,0.38759901666211416,38.75990166621142,0.00125,False,False
26,0.3764079229966287,0.8410093245967742,84.10093245967742,3.663797616958618,0.3761267413275061,37.61267413275061,0.00125,False,False
27,0.3444314115951138,0.8543661794354839,85.43661794354838,3.83148193359375,0.37175635072384594,37.175635072384594,0.00125,False,False
28,0.33569676861647635,0.8578944052419355,85.78944052419355,4.063642501831055,0.37039060366020216,37.039060366020216,0.00125,False,False
