pattern,n_samples,tp,fp,fn,precision,recall,f1,precision_percent,recall_percent,f1_percent
0,480,480,0,0,1.0,1.0,1.0,100.0,100.0,100.0
1,491,491,1,0,0.9979674796747967,1.0,0.9989827060020345,99.79674796747967,100.0,99.89827060020346
2,481,481,0,0,1.0,1.0,1.0,100.0,100.0,100.0
3,469,469,0,0,1.0,1.0,1.0,100.0,100.0,100.0
4,479,479,0,0,1.0,1.0,1.0,100.0,100.0,100.0
5,487,486,0,1,1.0,0.997946611909651,0.998972250770812,100.0,99.7946611909651,99.8972250770812
6,483,483,0,0,1.0,1.0,1.0,100.0,100.0,100.0
7,483,483,0,0,1.0,1.0,1.0,100.0,100.0,100.0
8,480,480,0,0,1.0,1.0,1.0,100.0,100.0,100.0
9,480,480,0,0,1.0,1.0,1.0,100.0,100.0,100.0
10,477,477,0,0,1.0,1.0,1.0,100.0,100.0,100.0
11,486,485,0,1,1.0,0.9979423868312757,0.9989701338825953,100.0,99.79423868312757,99.89701338825952
12,473,473,0,0,1.0,1.0,1.0,100.0,100.0,100.0
13,481,481,0,0,1.0,1.0,1.0,100.0,100.0,100.0
14,473,473,0,0,1.0,1.0,1.0,100.0,100.0,100.0
15,471,471,1,0,0.9978813559322034,1.0,0.9989395546129375,99.78813559322035,100.0,99.89395546129374
