pattern,n_samples,accuracy,accuracy_percent
0,480,1.0,100.0
1,491,1.0,100.0
2,481,1.0,100.0
3,469,1.0,100.0
4,479,1.0,100.0
5,487,0.997946611909651,99.7946611909651
6,483,1.0,100.0
7,483,1.0,100.0
8,480,1.0,100.0
9,480,1.0,100.0
10,477,1.0,100.0
11,486,0.9979423868312757,99.79423868312757
12,473,1.0,100.0
13,481,1.0,100.0
14,473,1.0,100.0
15,471,1.0,100.0
