epoch,train_loss,train_acc,train_acc_percent,val_loss,val_macro_f1,val_macro_f1_percent,val_weighted_f1,val_weighted_f1_percent,val_micro_f1,val_micro_f1_percent,val_acc,val_acc_percent,learning_rate,epochs_without_improvement,is_best_f1_this_run,val_macro_f1_network_5,val_acc_network_5
1,0.180196823659578,0.9455448420074349,94.55448420074349,0.04304341686268647,0.9871273528498892,98.71273528498892,0.9870786990573096,98.70786990573096,0.9870992963252541,98.7099296325254,0.9870992963252541,98.7099296325254,0.0008,0,True,0.9871273528498892,0.9870992963252541
2,0.011505362113806173,0.9967181691449815,99.67181691449815,0.013170122681185604,0.9947784164316854,99.47784164316855,0.9947875485893899,99.47875485893898,0.9947875944748501,99.478759447485,0.9947875944748501,99.478759447485,0.0008,0,True,0.9947784164316854,0.9947875944748501
3,0.00818286166889039,0.997473280669145,99.74732806691449,0.007891059383594742,0.9975320706047024,99.75320706047025,0.9975245749253421,99.7524574925342,0.9975241073755539,99.75241073755538,0.9975241073755539,99.75241073755538,0.0008,0,True,0.9975320706047024,0.9975241073755539
4,0.006094189584372066,0.9981267425650557,99.81267425650557,0.007697844080394134,0.9972714436517014,99.72714436517013,0.9972631572822859,99.72631572822858,0.9972634870992964,99.72634870992964,0.9972634870992964,99.72634870992964,0.0008,1,False,0.9972714436517014,0.9972634870992964
5,0.005560434126614534,0.9982864776951673,99.82864776951673,0.005822260534235586,0.9983098219989017,99.83098219989017,0.9983055780994009,99.83055780994009,0.9983059682043263,99.83059682043263,0.9983059682043263,99.83059682043263,0.0008,0,True,0.9983098219989017,0.9983059682043263
6,0.005014566207918266,0.9984607342007435,99.84607342007436,0.0042734008699577926,0.9983084089781493,99.83084089781494,0.998306642763227,99.8306642763227,0.9983059682043263,99.83059682043263,0.9983059682043263,99.83059682043263,0.0008,1,False,0.9983084089781493,0.9983059682043263
7,0.003946258001433916,0.9987802044609665,99.87802044609666,0.0032505435645968344,0.998701779885634,99.8701779885634,0.9986968580930424,99.86968580930424,0.9986968986187126,99.86968986187125,0.9986968986187126,99.86968986187125,0.0008,0,True,0.998701779885634,0.9986968986187126
8,0.0021419656921515015,0.9993610594795539,99.93610594795538,0.0030890087623750635,0.9990849619834228,99.90849619834228,0.9990876979106605,99.90876979106605,0.9990878290330988,99.90878290330988,0.9990878290330988,99.90878290330988,0.0008,0,True,0.9990849619834228,0.9990878290330988
9,0.0024021731245820062,0.9992884526022305,99.92884526022306,0.011015397040561462,0.995581648600439,99.5581648600439,0.9955720023187309,99.55720023187308,0.9955694553036226,99.55694553036226,0.9955694553036226,99.55694553036226,0.0008,1,False,0.995581648600439,0.9955694553036226
10,0.008292182572194648,0.9970666821561338,99.70666821561338,0.004780987800040748,0.9987043151648479,99.87043151648479,0.9986970351718795,99.86970351718794,0.9986968986187126,99.86968986187125,0.9986968986187126,99.86968986187125,0.0008,2,False,0.9987043151648479,0.9986968986187126
