pattern,n_samples,accuracy,accuracy_percent
0,237,0.29957805907172996,29.957805907172997
1,227,0.4008810572687225,40.08810572687225
2,226,0.18141592920353983,18.141592920353983
3,226,0.4823008849557522,48.23008849557522
4,231,0.38095238095238093,38.095238095238095
5,231,0.42857142857142855,42.857142857142854
6,226,0.43805309734513276,43.80530973451327
7,234,0.5470085470085471,54.700854700854705
8,230,0.1,10.0
9,214,0.4158878504672897,41.58878504672897
10,229,0.5764192139737991,57.64192139737992
11,229,0.6462882096069869,64.62882096069869
12,234,0.42735042735042733,42.73504273504273
13,226,0.4646017699115044,46.46017699115044
14,231,0.5411255411255411,54.112554112554115
15,230,0.5956521739130435,59.56521739130435
