true_pattern,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,71,1,40,0,0,0,2,0,5,0,115,2,0,0,1,0
1,0,91,0,36,0,7,0,1,0,50,0,38,0,3,0,1
2,48,0,41,1,0,0,3,0,9,0,119,2,0,0,2,1
3,0,15,0,109,0,0,0,7,1,6,0,84,0,0,0,4
4,4,0,0,1,88,1,48,0,0,0,9,0,53,0,26,1
5,0,2,0,6,2,99,4,44,0,1,0,2,0,46,1,24
6,5,0,3,0,26,1,99,1,0,0,11,0,18,0,60,2
7,0,0,0,3,0,23,4,128,0,0,1,4,0,7,0,64
8,58,0,27,0,0,0,0,0,23,0,115,1,1,0,5,0
9,1,32,0,16,0,1,0,1,0,89,1,65,0,5,0,3
10,44,0,34,1,0,0,1,0,10,0,132,1,0,0,6,0
11,1,6,0,39,0,2,0,4,0,13,6,148,1,1,0,8
12,0,0,2,0,34,0,21,1,1,0,9,0,100,1,64,1
13,0,0,0,0,0,28,2,27,0,2,0,2,2,105,1,57
14,3,0,3,0,13,0,36,2,2,0,20,0,24,1,125,2
15,1,0,0,1,0,12,0,45,0,0,0,8,0,18,8,137
