epoch,train_loss,train_acc,train_acc_percent,val_loss,val_macro_f1,val_macro_f1_percent,val_weighted_f1,val_weighted_f1_percent,val_micro_f1,val_micro_f1_percent,val_acc,val_acc_percent,learning_rate,epochs_without_improvement,is_best_f1_this_run,val_macro_f1_network_6,val_acc_network_6
1,0.4099226919245627,0.8623692850194552,86.23692850194551,0.12891813701596752,0.9569471064449648,95.69471064449648,0.9569188983802301,95.69188983802302,0.9569540934477592,95.69540934477591,0.9569540934477592,95.69540934477591,0.0008,0,True,0.9569471064449648,0.9569540934477592
2,0.08674647963464492,0.9721546692607004,97.21546692607004,0.0799946418867029,0.9744010986219381,97.44010986219381,0.9743406301143033,97.43406301143033,0.974390410025882,97.4390410025882,0.974390410025882,97.4390410025882,0.0008,0,True,0.9744010986219381,0.974390410025882
3,0.0647849393972279,0.9788272130350194,97.88272130350194,0.06487118684012315,0.9786165783653995,97.86165783653995,0.9785555301850931,97.85555301850931,0.9786132679471462,97.86132679471461,0.9786132679471462,97.86132679471461,0.0008,0,True,0.9786165783653995,0.9786132679471462
4,0.05698024675047119,0.9808791342412452,98.08791342412452,0.06574662016897366,0.9786059065968118,97.86059065968118,0.9785483993544553,97.85483993544553,0.9786132679471462,97.86132679471461,0.9786132679471462,97.86132679471461,0.0008,1,False,0.9786059065968118,0.9786132679471462
5,0.04996179414239027,0.9828398589494164,98.28398589494164,0.054649553936103296,0.9817860925650967,98.17860925650967,0.9816957618972519,98.16957618972519,0.9817463560822777,98.17463560822776,0.9817463560822777,98.17463560822776,0.0008,0,True,0.9817860925650967,0.9817463560822777
6,0.04672776219156002,0.9843598005836576,98.43598005836576,0.059611369759358206,0.9806354937285973,98.06354937285973,0.9805778525484381,98.05778525484381,0.9806565862961449,98.06565862961449,0.9806565862961449,98.06565862961449,0.0008,1,False,0.9806354937285973,0.9806565862961449
7,0.04459552224435579,0.9849373784046692,98.49373784046692,0.06383985043342771,0.9789127742324235,97.89127742324236,0.9788241293227242,97.88241293227242,0.9788857103936793,97.88857103936793,0.9788857103936793,97.88857103936793,0.0008,2,False,0.9789127742324235,0.9788857103936793
8,0.0432372471274163,0.9854237597276264,98.54237597276264,0.06476377503111444,0.9783739463968129,97.83739463968129,0.9782952535175421,97.82952535175421,0.978340825500613,97.8340825500613,0.978340825500613,97.8340825500613,0.0008,3,False,0.9783739463968129,0.978340825500613
9,0.04019386261331954,0.9865333171206225,98.65333171206225,0.06298936376797742,0.9795437619926357,97.95437619926358,0.979483525063128,97.9483525063128,0.9795668165100122,97.95668165100122,0.9795668165100122,97.95668165100122,0.0008,4,False,0.9795437619926357,0.9795668165100122
10,0.03837818233477466,0.987141293774319,98.7141293774319,0.05588498037179996,0.9816165991534025,98.16165991534025,0.9815362173206142,98.15362173206142,0.981610134859011,98.16101348590111,0.981610134859011,98.16101348590111,0.0008,5,False,0.9816165991534025,0.981610134859011
11,0.04023267571535324,0.9863965223735408,98.63965223735408,0.06200003701037374,0.9795705858088026,97.95705858088026,0.9794877433861472,97.94877433861473,0.9795668165100122,97.95668165100122,0.9795668165100122,97.95668165100122,0.0008,6,False,0.9795705858088026,0.9795668165100122
12,0.03550608054796371,0.987764469844358,98.7764469844358,0.06487137644455351,0.9793044019703736,97.93044019703736,0.9792300593420036,97.92300593420036,0.9792943740634791,97.9294374063479,0.9792943740634791,97.9294374063479,0.0008,7,False,0.9793044019703736,0.9792943740634791
13,0.0358916910343481,0.9879316634241245,98.79316634241245,0.053645578887442064,0.9835347298018369,98.35347298018368,0.9834617448585936,98.34617448585936,0.9835172319847432,98.35172319847432,0.9835172319847432,98.35172319847432,0.0008,0,True,0.9835347298018369,0.9835172319847432
14,0.03566629248616876,0.9879924610894941,98.79924610894942,0.05730050994918264,0.9812336372306194,98.12336372306194,0.9811514341000657,98.11514341000657,0.9812014711892113,98.12014711892112,0.9812014711892113,98.12014711892112,0.0008,1,False,0.9812336372306194,0.9812014711892113
15,0.03383293431360956,0.9887068336575876,98.87068336575877,0.054610121930981505,0.9836879291256604,98.36879291256604,0.9835944607921943,98.35944607921942,0.9836534532080098,98.36534532080098,0.9836534532080098,98.36534532080098,0.0008,0,True,0.9836879291256604,0.9836534532080098
16,0.031211226144878028,0.9895124027237354,98.95124027237354,0.056117964908480644,0.9838160923168342,98.38160923168343,0.9837222219195096,98.37222219195097,0.9837896744312764,98.37896744312764,0.9837896744312764,98.37896744312764,0.0008,0,True,0.9838160923168342,0.9837896744312764
17,0.036264432133954555,0.9879924610894941,98.79924610894942,0.06087358642754884,0.9828633940733194,98.28633940733194,0.9827781419668886,98.27781419668887,0.9828361258684103,98.28361258684103,0.9828361258684103,98.28361258684103,0.0008,1,False,0.9828633940733194,0.9828361258684103
18,0.03530271852149806,0.9879772616731517,98.79772616731518,0.055253995518232214,0.9824422547325291,98.24422547325291,0.9823614025599079,98.23614025599079,0.9824274621986105,98.24274621986106,0.9824274621986105,98.24274621986106,0.0008,2,False,0.9824422547325291,0.9824274621986105
