epoch,train_loss,train_acc,train_acc_percent,val_loss,val_acc,val_acc_percent,learning_rate,is_best_acc_this_run,is_best_loss_this_run
1,1.864093651254493,0.32696410642570284,32.696410642570285,1.740502119064331,0.3630155695165255,36.30155695165255,0.0008,True,True
2,1.609221592006913,0.39809236947791166,39.80923694779116,1.5599191188812256,0.4116361649822453,41.16361649822453,0.0008,True,True
3,1.561323803591441,0.4174824297188755,41.74824297188755,1.5436174869537354,0.4195574979513794,41.95574979513794,0.0008,True,True
4,1.5259788754474686,0.4294678714859438,42.94678714859438,1.5195953845977783,0.42146954384048074,42.14695438404807,0.0008,True,True
5,1.5024888113320591,0.44477911646586343,44.47791164658634,1.510939121246338,0.43157607211144494,43.157607211144494,0.0008,True,True
6,1.474521207522197,0.45852158634538154,45.852158634538156,1.5110633373260498,0.4228352909041246,42.28352909041246,0.0008,False,False
7,1.4495397791805038,0.47122866465863456,47.12286646586345,1.5159443616867065,0.4217426932532095,42.17426932532095,0.0008,False,False
8,1.4216118390301624,0.4873556726907631,48.735567269076306,1.5143749713897705,0.4258399344441409,42.58399344441409,0.0008,False,False
9,1.3867424108895912,0.5094126506024096,50.94126506024096,1.5330251455307007,0.4151871073477192,41.51871073477192,0.0008,False,False
10,1.3531281617750603,0.5288968373493976,52.889683734939766,1.5506818294525146,0.4291177273968861,42.91177273968861,0.0008,False,False
11,1.303178031760526,0.5568210341365462,55.682103413654616,1.5596071481704712,0.41054356733133024,41.05435673313303,0.0008,False,False
12,1.2537290044577725,0.5854668674698795,58.54668674698795,1.58713698387146,0.41272876263316033,41.272876263316036,0.0004,False,False
