true_pattern,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,9,1,144,0,0,0,10,0,31,0,38,1,0,0,3,0
1,0,104,0,38,0,5,0,3,0,47,0,26,0,3,0,1
2,1,0,149,1,0,0,4,1,20,0,40,4,0,0,6,0
3,0,31,0,113,0,0,0,6,1,14,0,60,0,0,0,1
4,1,0,5,0,88,1,58,1,1,0,3,0,46,0,26,1
5,0,1,0,3,2,105,1,57,0,5,0,2,0,32,1,22
6,0,0,14,0,13,1,120,1,2,0,1,0,15,0,58,1
7,0,0,1,2,0,22,2,137,0,0,0,4,0,5,0,61
8,4,0,116,0,0,0,3,0,46,0,54,2,0,0,5,0
9,0,39,0,21,0,2,0,1,0,100,1,46,0,2,0,2
10,0,0,139,1,0,0,6,0,27,0,49,3,0,0,4,0
11,1,9,1,56,0,1,0,4,2,19,1,128,1,1,1,4
12,0,0,8,0,34,1,28,0,2,1,1,0,94,0,65,0
13,0,0,0,1,1,39,0,30,0,6,0,3,2,89,2,53
14,1,0,16,0,9,0,55,2,3,0,4,0,23,0,116,2
15,0,0,0,1,0,15,2,52,1,0,0,10,0,10,6,133
