frequency,n_samples,accuracy,accuracy_percent
1.0,11,0.36363636363636365,36.36363636363637
1.5,14,0.42857142857142855,42.857142857142854
2.0,16,0.1875,18.75
2.5,13,0.5384615384615384,53.84615384615385
3.0,16,0.5625,56.25
3.5,16,0.3125,31.25
4.0,16,0.4375,43.75
4.5,16,0.3125,31.25
5.0,16,0.4375,43.75
5.5,17,0.47058823529411764,47.05882352941176
6.0,16,0.5,50.0
6.5,16,0.5,50.0
7.0,18,0.3888888888888889,38.88888888888889
7.5,18,0.6111111111111112,61.111111111111114
8.0,18,0.4444444444444444,44.44444444444444
8.5,20,0.3,30.0
9.0,20,0.4,40.0
9.5,22,0.36363636363636365,36.36363636363637
10.0,21,0.5238095238095238,52.38095238095239
10.5,20,0.6,60.0
11.0,26,0.5384615384615384,53.84615384615385
11.5,26,0.6923076923076923,69.23076923076923
12.0,28,0.35714285714285715,35.714285714285715
12.5,28,0.5,50.0
13.0,30,0.5666666666666667,56.666666666666664
13.5,31,0.45161290322580644,45.16129032258064
14.0,32,0.5625,56.25
14.5,32,0.625,62.5
15.0,34,0.6470588235294118,64.70588235294117
15.5,36,0.5277777777777778,52.77777777777778
16.0,37,0.5945945945945946,59.45945945945946
16.5,34,0.4411764705882353,44.11764705882353
17.0,37,0.4864864864864865,48.64864864864865
17.5,39,0.48717948717948717,48.717948717948715
18.0,38,0.2631578947368421,26.31578947368421
18.5,39,0.358974358974359,35.8974358974359
19.0,42,0.35714285714285715,35.714285714285715
19.5,42,0.38095238095238093,38.095238095238095
20.0,44,0.5,50.0
20.5,43,0.4418604651162791,44.18604651162791
21.0,46,0.5434782608695652,54.347826086956516
21.5,47,0.44680851063829785,44.680851063829785
22.0,48,0.3958333333333333,39.58333333333333
22.5,48,0.4583333333333333,45.83333333333333
23.0,52,0.5384615384615384,53.84615384615385
23.5,53,0.5094339622641509,50.943396226415096
24.0,54,0.5555555555555556,55.55555555555556
24.5,53,0.41509433962264153,41.509433962264154
25.0,57,0.5614035087719298,56.14035087719298
25.5,56,0.3392857142857143,33.92857142857143
26.0,58,0.3620689655172414,36.206896551724135
26.5,59,0.423728813559322,42.3728813559322
27.0,59,0.3220338983050847,32.20338983050847
27.5,63,0.31746031746031744,31.746031746031743
28.0,61,0.4098360655737705,40.98360655737705
28.5,61,0.4426229508196721,44.26229508196721
29.0,65,0.4,40.0
29.5,66,0.4393939393939394,43.93939393939394
30.0,65,0.4461538461538462,44.61538461538462
30.5,67,0.417910447761194,41.7910447761194
31.0,68,0.4411764705882353,44.11764705882353
31.5,71,0.4507042253521127,45.07042253521127
32.0,70,0.32857142857142857,32.857142857142854
32.5,71,0.4084507042253521,40.845070422535215
33.0,73,0.410958904109589,41.0958904109589
33.5,76,0.42105263157894735,42.10526315789473
34.0,74,0.5135135135135135,51.35135135135135
34.5,72,0.5277777777777778,52.77777777777778
35.0,78,0.3974358974358974,39.743589743589745
35.5,80,0.375,37.5
36.0,80,0.3625,36.25
36.5,78,0.3717948717948718,37.17948717948718
37.0,81,0.4444444444444444,44.44444444444444
37.5,83,0.3373493975903614,33.734939759036145
38.0,84,0.40476190476190477,40.476190476190474
38.5,84,0.39285714285714285,39.285714285714285
39.0,85,0.3411764705882353,34.11764705882353
39.5,89,0.4044943820224719,40.44943820224719
40.0,88,0.3977272727272727,39.77272727272727
