variant,base_variant,split_id,deploy_context_mode,time_bin,model_bce,global_bce,pattern_bce,improvement_vs_pattern
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,60,0.0125219505280256,0.0124333268031477,0.0127383880317211,0.0169909648816251
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,61,0.012310717254877,0.0122366845607757,0.0124612348154187,0.0120788639947133
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,62,0.0125949652865529,0.0124419750645756,0.0126502178609371,0.0043677172197032
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,63,0.0120031740516424,0.0119482725858688,0.0121888723224401,0.0152350657128348
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,64,0.011520517989993,0.0113370139151811,0.0115577010437846,0.0032171669478783
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,65,0.011831103824079,0.0117075303569436,0.0118939327076077,0.0052824313936568
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,66,0.0117854736745357,0.0117281377315521,0.0120222689583897,0.0196963888159197
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,67,0.0107996677979826,0.0106044057756662,0.0108620859682559,0.0057464257285127
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,68,0.0107890181243419,0.0107097439467906,0.0110603831708431,0.0245348684859779
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,69,0.0107432892546057,0.0106505760923028,0.0109142521396279,0.0156641868664023
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,70,0.0103208273649215,0.0101582929491996,0.0104687986895442,0.0141345085535381
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,71,0.0106593342497944,0.0106716742739081,0.0108885113149881,0.0210476031629951
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,72,0.0106175495311617,0.0105738192796707,0.0109353987500071,0.02906608401867
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,73,0.0105754639953374,0.0105856684967875,0.0108210146427154,0.0226920169212846
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,74,0.0114528704434633,0.0113705983385443,0.0117498291656374,0.0252734501913122
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,75,0.011282242834568,0.0112838456407189,0.0116109997034072,0.0283142603769759
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,76,0.0108362082391977,0.0108037507161498,0.01113454811275,0.0267940710778102
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,77,0.0107235414907336,0.0107888206839561,0.0110627291724085,0.0306603982063414
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,78,0.0103609729558229,0.0105089014396071,0.0108512686565518,0.0451832607086785
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,79,0.0109260687604546,0.010975144803524,0.011383437551558,0.040178442498748
