variant,base_variant,split_id,deploy_context_mode,use_z_gru_state,epoch,train_loss,train_bce,val_loss,val_bce,validation_performed,lr,residual_scale,context_dim,batch_size,aux_count_weight,aux_psth_weight,dropout,weight_decay,use_pattern_embedding,use_bit_features,current_bit_feature_mode,current_bit_encoder,use_prev_pattern_context,use_prev_pattern_bit_context,z_history_pattern_mode
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,20,0.0349036452913391,0.0348980059045176,0.0346633574786344,0.0346576219096395,True,0.0008,0.2639950513839721,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,21,0.0348813877596732,0.034875756294494,,,False,0.0008,0.2653842270374298,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,22,0.0348243168547186,0.0348187334924724,0.0346551255428563,0.0346494062037513,True,0.0008,0.2674989402294159,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,23,0.034801407159629,0.0347958398239357,,,False,0.0008,0.2690893709659576,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,24,0.0347884702467311,0.0347829037769274,0.0347029451059238,0.0346971176054608,True,0.0008,0.2704633772373199,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,25,0.0347988871771813,0.0347932944246391,,,False,0.0008,0.2721920609474182,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,26,0.0347194658956789,0.0347139500337975,0.0345987128095929,0.0345930329527116,True,0.0008,0.2746409177780151,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,27,0.0346984583481705,0.0346929601703384,,,False,0.0008,0.2758132219314575,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,28,0.0346667483939555,0.0346612647223173,0.0345440226054084,0.0345383875749327,True,0.0008,0.27775439620018,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,29,0.0346497565265389,0.0346442777319231,,,False,0.0008,0.2791066467761993,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,30,0.0346057161340386,0.0346002794888596,0.0345867398235733,0.0345809828920664,True,0.0008,0.2812578082084656,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,31,0.034595609985618,0.0345901742262582,,,False,0.0008,0.2824423015117645,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,32,0.0345588769912831,0.0345534653826193,0.0345130555808343,0.0345074532267153,True,0.0008,0.2841629683971405,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,33,0.0345229957025572,0.0345176116351192,,,False,0.0008,0.2861972451210022,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,34,0.0344855719376627,0.0344802112741903,0.0345137284067276,0.0345081055856714,True,0.0008,0.2880815267562866,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,True,35,0.0344681866840503,0.0344628341615846,,,False,0.0008,0.2901526093482971,28,1024,0.03,0.03,0.12,0.0001,False,True,single,linear,True,False,embedding
