variant,base_variant,split_id,deploy_context_mode,group,value,n_trials,global_bce,pattern_bce,model_bce,improvement_vs_pattern
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,10.0,53,0.0253605786710977,0.0241953581571578,0.0224015470594167,0.0741386461853407
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,10.5,51,0.0288273114711046,0.0272739045321941,0.0251425113528966,0.0781477099027588
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,11.0,55,0.0261383410543203,0.0247642658650875,0.0227435994893312,0.0815960540386939
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,11.5,64,0.0226610358804464,0.0204323194921016,0.0179499108344316,0.1214942169747111
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,12.0,61,0.0251606851816177,0.023646792396903,0.0214358121156692,0.0935002195698793
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,12.5,55,0.0278834141790866,0.0267765615135431,0.0247437432408332,0.0759178235667668
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,13.0,72,0.0250302571803331,0.0237478390336036,0.0220682919025421,0.0707242089979202
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,13.5,84,0.0318389907479286,0.0297617074102163,0.0276465658098459,0.0710692290336924
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,14.0,69,0.0317877680063247,0.0298697166144847,0.0282837487757205,0.0530961796267964
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,14.5,82,0.0332060270011425,0.0319261439144611,0.0304914154112339,0.044938985023411
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,15.0,93,0.0294292159378528,0.0281546972692012,0.0267269033938646,0.0507124570257242
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,15.5,92,0.0310183148831129,0.0293432883918285,0.0280218832194805,0.0450326205673664
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,16.0,92,0.0376844629645347,0.0356389917433261,0.0337474010884761,0.0530764357329
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,16.5,89,0.0276444051414728,0.0259201172739267,0.0238807667046785,0.0786782925283906
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,17.0,102,0.030564222484827,0.0289216171950101,0.0279490146785974,0.0336289118915707
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,17.5,97,0.029331749305129,0.0268755443394184,0.0254886504262685,0.0516043096889268
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,frequency,18.0,104,0.0288411974906921,0.0276568010449409,0.0257127620279788,0.0702915356625331
