variant,base_variant,split_id,deploy_context_mode,electrode,model_bce,global_bce,pattern_bce,improvement_vs_pattern
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,69,0.0249751210212707,0.028732581064105,0.0271448474377393,0.0799314279236677
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,70,0.0132684167474508,0.0164561681449413,0.0152289262041449,0.1287358957823646
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,71,0.0548447370529174,0.0592211931943893,0.0567107498645782,0.0329040405234755
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,72,0.0523216389119625,0.0569348484277725,0.0548361763358116,0.0458554478425029
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,73,0.0261633917689323,0.0284206792712211,0.0277675129473209,0.0577697102881287
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,74,0.0454491376876831,0.0491431280970573,0.0472721680998802,0.0385645610403414
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,75,0.0014458873774856,0.0016611496685072,0.0016830031527206,0.1408884914158905
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,76,0.030440641567111,0.0366378091275692,0.0344704017043113,0.1169049369301761
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,77,0.001162308617495,0.0017289224779233,0.0016025203512981,0.2746996214098315
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,78,0.0401194505393505,0.0453635193407535,0.0429668799042701,0.0662703312705905
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,79,0.009088572114706,0.0105587933212518,0.0099170096218585,0.0835370276667429
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,80,0.0825240164995193,0.0894802808761596,0.0847957879304885,0.0267910881709304
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,81,0.0004724778700619,0.0007560650119557,0.0006824624724686,0.3076866653884443
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,82,0.0265468135476112,0.0307691749185323,0.0289996694773435,0.0845822029678184
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,83,0.0171135365962982,0.0203450974076986,0.0196975078433752,0.1311826484661635
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,84,0.0785276293754577,0.0880112648010253,0.0817527621984481,0.0394498330852928
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,85,0.0537877157330513,0.0588005855679512,0.0567364171147346,0.0519719349870184
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,86,0.0287833530455827,0.0325210504233837,0.0308512169867753,0.0670269812072253
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,87,0.0733834207057952,0.0802422538399696,0.0760443806648254,0.0349921971323383
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,88,0.0065791546367108,0.0080523630604147,0.0075716385617852,0.1310791471324978
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,89,0.0586678758263587,0.0625641569495201,0.0604717917740345,0.0298307011377538
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,90,0.0104218404740095,0.0126832872629165,0.0121487425640225,0.1421465703888647
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,91,0.0303944591432809,0.0350480899214744,0.0329913683235645,0.0787148066977467
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,92,0.0181779079139232,0.0212885215878486,0.0201782546937465,0.0991337858592512
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,93,0.0178103074431419,0.0214616823941469,0.0196388233453035,0.0931072025045162
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,94,0.0682796537876129,0.0746118649840354,0.0705431997776031,0.032087373370167
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,95,0.0456099398434162,0.0502383857965469,0.0473368391394615,0.0364810859245923
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,96,0.0579451583325862,0.0625876486301422,0.0592612437903881,0.0222081983708766
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,97,0.004631049465388,0.0063774436712265,0.0059900740161538,0.226879425379517
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,98,0.0309317838400602,0.0358376689255237,0.0335922054946422,0.0791975881133003
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,99,0.0717209056019783,0.0809545740485191,0.0745794400572776,0.0383287197262945
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,100,0.0048963753506541,0.0062556131742894,0.0057610482908785,0.1500895143672802
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,101,0.0076694758608937,0.0085576409474015,0.0083255758509039,0.0788053585433399
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,102,0.075322538614273,0.0843814462423324,0.0784743502736091,0.0401635903750329
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,103,0.0549767576158046,0.0584975257515907,0.0564071498811244,0.0253583502859887
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,104,0.0574625916779041,0.0643556639552116,0.0612197071313858,0.0613710131840126
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,105,1.5502360838581808e-05,1.0356359780416824e-05,1.0465476407262033e-05,-0.481285727979346
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,106,0.0168422292917966,0.0203972067683935,0.0194340255111455,0.1333638374541851
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,107,0.055346842855215,0.0604341477155685,0.0573417544364929,0.0347898595165456
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,108,4.351764073362574e-05,4.368792360764928e-05,4.410744440974668e-05,0.0133719757291266
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,109,0.0171708893030881,0.0183051526546478,0.0181942265480756,0.0562451633919949
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,110,0.0407124981284141,0.0440065823495388,0.0425067916512489,0.042211925509604
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,111,0.0001636554370634,0.0001904032978927,0.0001817191805457,0.0994047157162594
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,112,0.0595647953450679,0.0670640096068382,0.0624448023736476,0.0461208446356634
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,113,0.0541879683732986,0.057865772396326,0.0556148290634155,0.0256561193146864
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,114,0.0502871386706829,0.0546103604137897,0.0520855262875556,0.0345275884694758
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,115,0.0301950965076684,0.0362926945090293,0.034114696085453,0.1148947529230931
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,116,0.0160325244069099,0.0211238097399473,0.0196821931749582,0.1854299841285869
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,117,0.0616464279592037,0.0672445520758628,0.063793234527111,0.0336525743493218
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,118,0.0343163087964057,0.0379747599363327,0.0358617901802063,0.0430954889879849
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,119,0.0251814182847738,0.0285659059882164,0.0276169404387474,0.0881894270429923
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,120,3.9629747334402055e-05,4.163770790910348e-05,4.595965219778009e-05,0.1377274317947031
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,121,0.007684770040214,0.0097423093393445,0.0093456786125898,0.1777194189128562
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,122,0.0351022593677043,0.0383335538208484,0.0371022559702396,0.0539049863743994
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,123,0.0335945487022399,0.0370097905397415,0.0355351381003856,0.0546104363704334
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,124,0.0626353994011879,0.0685491785407066,0.0652909129858017,0.0406720240715775
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,125,0.0569965653121471,0.0644663199782371,0.0597762465476989,0.0465014348690121
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,126,0.0007369865197688,0.0008952638017944,0.0009059369331225,0.1864924667232678
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,127,0.0173141378909349,0.0209612380713224,0.0198341105133295,0.1270524645257479
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,128,0.0610341653227806,0.0663802251219749,0.0627305209636688,0.0270419504705003
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,129,0.001916438806802,0.0023083060514181,0.002160222036764,0.1128510059675042
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,130,0.0600979812443256,0.065193124115467,0.062378566712141,0.0365604018819418
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,131,0.0007374399574473,0.0008462072582915,0.0007856985321268,0.0614212356345639
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,132,0.0430229231715202,0.0490941815078258,0.0464448146522045,0.0736765020230705
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,133,0.0129037201404571,0.0174228511750698,0.0153940077871084,0.1617699354898818
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,134,0.0782456547021865,0.0871542990207672,0.0815008282661438,0.0399403740208299
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,135,0.0278014596551656,0.0335182771086692,0.0316047258675098,0.1203385287468665
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,136,0.0075770486146211,0.0093026589602231,0.0086182355880737,0.1208120807109758
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,137,0.0020754877477884,0.0028793793171644,0.0027154020499438,0.2356609777799271
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,138,0.0050582690164446,0.0062533454038202,0.0058380160480737,0.1335637012999236
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,139,0.0511970296502113,0.0556078255176544,0.0531071089208126,0.0359665458997093
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,140,0.0058123129419982,0.0068350229412317,0.0065994155593216,0.1192685337433585
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,141,0.0537033081054687,0.0574070177972316,0.0553075075149536,0.0290050931883186
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,142,0.0608224645256996,0.0668368563055992,0.0635052546858787,0.0422451681116664
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,143,0.0028112514410167,0.0043528792448341,0.0039218976162374,0.2831910171806429
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,144,0.0198144931346178,0.0242427997291088,0.0219350326806306,0.0966736442515255
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,145,0.0620271414518356,0.0675099939107894,0.0637783631682396,0.0274579281971293
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,146,0.0354552865028381,0.0439862571656703,0.0367587767541408,0.0354606536561606
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,147,0.0008564523886889,0.0010287013137713,0.000982599100098,0.1283806502535051
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,148,7.07882281858474e-05,7.564863335574046e-05,7.594282942591235e-05,0.067874758934201
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,149,0.0531383864581584,0.0583910048007965,0.0563270561397075,0.056609911827102
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,150,0.0614867024123668,0.0655738562345504,0.0632368549704551,0.0276761480137807
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,151,0.0203089509159326,0.0252931527793407,0.0238217823207378,0.1474629965763359
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,152,0.0482024177908897,0.0526167042553424,0.0508566312491893,0.0521901154894514
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,153,0.0567443631589412,0.0625435933470726,0.0601783394813537,0.057063327968305
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,154,0.0635174065828323,0.0713216885924339,0.0665371194481849,0.0453838833180056
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,155,0.004222135990858,0.0063601550646126,0.0056714373640716,0.2555439265528721
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,156,0.0334524326026439,0.0376038514077663,0.0364154390990734,0.0813667655734745
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,157,0.0565270148217678,0.0617305487394332,0.0584594197571277,0.0330554929109494
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,158,0.0522098690271377,0.0569667592644691,0.0541917718946933,0.0365720255725702
C4_current_bits_linear_trueLPO_random,C4_current_bits_linear_trueLPO,random,z_window_summary,159,0.0156282633543014,0.0203405581414699,0.0190322361886501,0.1788530155157824
