pattern,n_samples,accuracy,accuracy_percent
0,480,1.0,100.0
1,491,0.9979633401221996,99.79633401221996
2,481,1.0,100.0
3,469,1.0,100.0
4,479,1.0,100.0
5,487,0.997946611909651,99.7946611909651
6,483,1.0,100.0
7,483,0.9979296066252588,99.79296066252587
8,480,1.0,100.0
9,480,1.0,100.0
10,477,1.0,100.0
11,486,1.0,100.0
12,473,1.0,100.0
13,481,1.0,100.0
14,473,1.0,100.0
15,471,1.0,100.0
