network,pattern,n_samples,accuracy,accuracy_percent
5,0,480,1.0,100.0
5,1,491,0.9979633401221996,99.79633401221996
5,2,481,1.0,100.0
5,3,469,1.0,100.0
5,4,479,1.0,100.0
5,5,487,0.997946611909651,99.7946611909651
5,6,483,1.0,100.0
5,7,483,0.9979296066252588,99.79296066252587
5,8,480,1.0,100.0
5,9,480,1.0,100.0
5,10,477,1.0,100.0
5,11,486,1.0,100.0
5,12,473,1.0,100.0
5,13,481,1.0,100.0
5,14,473,1.0,100.0
5,15,471,1.0,100.0
