bit,bit_value,mean_effect_sum,positive_effect_sum,centroid_x,centroid_y,spread,top_electrodes,top_coords
0,1,44.44734306527607,44.76479954610477,121.62122739130886,56.83770423450832,16.355454823692,"12212,11771,15291,14634,12653,13094,15290,10904,15286,15067,10468,11122","112,55;111,53;111,69;114,66;113,57;114,59;110,69;124,49;106,69;107,68;128,47;122,50"
1,2,-5.093134171493144,0.0032460146467201655,109.0,51.0,0.0,"11329,11768,14439,15529,14660,15530,11769,11547,15970,14659,15750,15531","109,51;108,53;139,65;129,70;140,66;130,70;109,53;107,52;130,72;139,66;130,71;131,70"
2,4,17.859988379586866,18.683885029575322,125.30697494021327,55.4680737022791,15.988364542556173,"14436,13554,14877,12012,13775,15097,14216,11573,9817,10035,10034,10033","136,65;134,61;137,67;132,54;135,62;137,68;136,64;133,52;137,44;135,45;134,45;133,45"
3,8,-4.23967144523704,0.0015384690013888756,114.92047916142315,54.76204216234476,13.17794952343413,"11549,14659,14660,15529,14439,11768,11547,11769,15970,15530,14852,15750","109,52;139,66;140,66;129,70;139,65;108,53;107,52;109,53;130,72;130,70;112,67;130,71"
