variant,experiment_group,question,history_strategy,freq_strategy,best_val_bce,best_epoch,epochs_run,final_train_bce,final_val_bce,final_val_train_gap,improvement_vs_global_percent,improvement_vs_pattern_percent,total_count_corr_model,total_count_mae_model,z_history_len,z_gru_hidden_dim,z_gru_layers,z_history_pattern_mode,freq_rbf_dim,use_frequency_features,use_rbf_features,use_frequency_film,deploy_context_mode,n_params,elapsed_min,delta_bce_vs_baseline,delta_count_corr_vs_baseline,delta_count_mae_vs_baseline
freq_rbf8,frequency,rbf_resolution,H24_D64_embedding,direct_rbf8_plus_context,0.0344173922365495,90,138,0.0324673332859303,0.034627729797303,0.0021603965113727,9.972990981338071,5.112191572925061,0.882105737422937,30.099838256835938,24,64,1,embedding,8,True,True,False,z_window_summary,296274,10.276710295677184,-2.6284925865399655e-05,-0.0017375442135436625,0.5948619842529297
freq_context_only,frequency,direct_frequency_ablation,H24_D64_embedding,context_only_no_direct_frequency,0.0344208676071145,98,146,0.0324740735117835,0.0346200479861394,0.0021459744743559,9.966394146922124,5.105238557745407,0.8781993264214067,29.871232986450195,24,64,1,embedding,16,False,True,False,z_window_summary,292818,10.756840109825134,-2.280955530040152e-05,-0.005643955215073881,0.3662567138671875
freq_film_rbf16,frequency,frequency_modulation,H24_D64_embedding,direct_rbf16_context_film,0.034438887109727,96,144,0.0326421300506061,0.0345398633961391,0.001897733345533,9.921171239205114,5.057573944083996,0.8833461074727907,29.56480407714844,24,64,1,embedding,16,True,True,True,z_window_summary,340050,10.616696226596831,-4.790052687900226e-06,-0.0004971741636898841,0.05982780456543324
C4_linear_H24_D64_freq_rbf16,baseline,current_reference,H24_D64_embedding,direct_rbf16_plus_context,0.0344436771624149,92,140,0.0324163888969583,0.0346287261439627,0.0022123372470043,9.907519592208446,5.04318520809183,0.8838432816364806,29.504976272583008,24,64,1,embedding,16,True,True,False,z_window_summary,297810,10.296785700321198,0.0,0.0,0.0
freq_fourier_only,frequency,rbf_ablation,H24_D64_embedding,direct_fourier_no_rbf_plus_context,0.0344787310236097,74,122,0.032767114363502,0.0345858507426967,0.0018187363791947,9.812182180206028,4.942700273796797,0.8786173879364749,30.493682861328125,24,64,1,embedding,16,True,False,False,z_window_summary,294738,9.123409748077393,3.505386119480314e-05,-0.0052258937000057015,0.9887065887451172
freq_rbf32,frequency,rbf_resolution,H24_D64_embedding,direct_rbf32_plus_context,0.034515770834972,92,140,0.0323972938256878,0.0347806758108296,0.0023833819851418,9.71804330680503,4.843478590413281,0.8776434227722156,30.224140167236328,24,64,1,embedding,32,True,True,False,z_window_summary,300882,10.393487457434336,7.209367255710253e-05,-0.0061998588642649954,0.7191638946533203
freq_direct_only_nofreq_context,frequency,context_frequency_ablation,H24_D64_embedding,direct_rbf16_no_frequency_context,0.0345453419017069,76,124,0.0327732545238307,0.0346434690677022,0.0018702145438715,9.638004314349196,4.759118078322173,0.8786121273816738,29.911455154418945,24,64,1,embedding,16,True,True,False,z_window_no_frequency_context,294162,9.259635015328724,0.00010166473929199699,-0.005231154254806802,0.4064788818359375
