true_pattern,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,453,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,461,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,70,0,390,1,0,0,1,0,1,0,4,0,0,0,0,0
3,0,9,0,442,0,0,0,0,0,0,0,2,0,0,0,0
4,0,0,0,0,440,0,25,0,0,0,0,0,0,0,0,0
5,0,10,0,1,0,426,0,19,0,2,0,0,1,5,0,0
6,0,0,0,0,2,0,454,0,0,0,0,0,0,0,3,0
7,0,0,0,2,1,1,3,436,0,0,0,1,0,0,1,7
8,0,0,0,0,0,0,0,0,460,0,2,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,440,0,15,0,0,0,0
10,0,0,0,0,0,0,0,0,63,3,382,1,0,0,0,0
11,0,0,0,12,0,0,0,0,0,4,0,446,0,0,0,2
12,0,0,0,0,4,0,1,0,0,0,0,0,412,1,33,0
13,0,0,0,0,0,3,1,2,0,1,0,1,1,418,0,40
14,0,0,0,0,1,0,7,0,0,0,0,0,2,0,444,3
15,0,0,0,0,0,0,1,8,0,0,0,6,0,0,2,436
