frequency,n_samples,accuracy,accuracy_percent
1.0,15,0.8,80.0
2.0,23,0.8260869565217391,82.6086956521739
3.0,32,0.78125,78.125
4.0,43,0.7441860465116279,74.4186046511628
5.0,54,0.9259259259259259,92.5925925925926
7.0,76,0.9473684210526315,94.73684210526315
8.0,86,0.9302325581395349,93.02325581395348
10.0,109,0.944954128440367,94.4954128440367
11.0,120,0.9583333333333334,95.83333333333334
12.0,131,0.8778625954198473,87.78625954198473
13.0,141,0.9574468085106383,95.74468085106383
14.0,151,0.9536423841059603,95.36423841059603
15.0,161,0.937888198757764,93.7888198757764
16.0,175,0.9257142857142857,92.57142857142857
17.0,184,0.9565217391304348,95.65217391304348
19.0,206,0.9514563106796117,95.14563106796116
20.0,212,0.9811320754716981,98.11320754716981
21.0,227,0.973568281938326,97.3568281938326
22.0,239,0.9372384937238494,93.72384937238493
23.0,246,0.9227642276422764,92.27642276422763
24.0,261,0.9348659003831418,93.48659003831418
25.0,270,0.9518518518518518,95.18518518518519
26.0,282,0.9184397163120568,91.84397163120568
27.0,293,0.962457337883959,96.24573378839591
28.0,303,0.9537953795379538,95.37953795379538
29.0,312,0.9519230769230769,95.1923076923077
30.0,322,0.9472049689440993,94.72049689440993
31.0,339,0.9587020648967551,95.87020648967551
32.0,344,0.9476744186046512,94.76744186046511
34.0,367,0.9427792915531336,94.27792915531336
36.0,388,0.9561855670103093,95.61855670103093
37.0,397,0.947103274559194,94.7103274559194
38.0,412,0.9757281553398058,97.57281553398059
39.0,420,0.9380952380952381,93.80952380952381
